escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00442,DWT,8,4,5,4,1,1,1
00442,DTCWT,8,4,5,4,1,1,1
00442,Curvelet,8,4,5,4,1,1,1
00442,TopHat_Clasico,8,4,5,4,1,1,1
00442,Propuesta_Novedosa,8,4,5,4,1,1,1
00444,VIS,6,4,2,3,1,1,1
00444,IR,6,4,4,3,1,1,1
00444,PiramideLaplace,6,4,2,3,1,1,1
00444,RatioPiramide,6,4,2,3,1,1,1
00444,DWT,6,4,2,3,1,1,1
00444,DTCWT,6,4,2,3,1,1,1
00444,Curvelet,6,4,2,3,1,1,1
00444,TopHat_Clasico,6,4,2,3,1,1,1
00444,Propuesta_Novedosa,6,4,2,3,1,1,1
00448,VIS,7,6,2,4,1,1,1
00448,IR,7,6,4,3,1,1,1
00448,PiramideLaplace,7,6,3,4,1,1,1
00448,RatioPiramide,7,6,3,5,1,1,1
00448,DWT,7,6,3,2,1,1,1
00448,DTCWT,7,6,3,3,1,1,1
00448,Curvelet,7,6,3,3,1,1,1
00448,TopHat_Clasico,7,6,3,3,1,1,1
00448,Propuesta_Novedosa,7,6,3,2,1,1,1
00449,VIS,6,5,3,5,1,1,1
00449,IR,6,5,4,4,1,1,1
00449,PiramideLaplace,6,5,3,3,1,1,1
00449,RatioPiramide,6,5,4,3,1,1,1
00449,DWT,6,5,3,3,1,1,1
00449,DTCWT,6,5,3,3,1,1,1
00449,Curvelet,6,5,3,3,1,1,1
00449,TopHat_Clasico,6,5,3,3,1,1,1
00449,Propuesta_Novedosa,6,5,4,3,1,1,1
00452,VIS,2,3,1,2,1,1,1
00452,IR,2,3,2,2,1,1,1
00452,PiramideLaplace,2,3,2,2,1,1,1
00452,RatioPiramide,2,3,2,2,1,1,1
00452,DWT,2,3,2,2,1,1,1
00452,DTCWT,2,3,2,2,1,1,1
00452,Curvelet,2,3,2,1,1,1,1
00452,TopHat_Clasico,2,3,2,2,1,1,1
00452,Propuesta_Novedosa,2,3,2,2,1,1,1
00453,VIS,1,4,0,1,0,1,0
00453,IR,1,4,1,2,1,1,1
00453,PiramideLaplace,1,4,1,4,1,1,1
00453,RatioPiramide,1,4,1,3,1,1,1
00453,DWT,1,4,1,2,1,1,1
00453,DTCWT,1,4,1,3,1,1,1
00453,Curvelet,1,4,1,3,1,1,1
00453,TopHat_Clasico,1,4,1,3,1,1,1
00453,Propuesta_Novedosa,1,4,1,4,1,1,1
00459,VIS,6,3,4,1,1,1,1
00459,IR,6,3,5,0,1,0,0
00459,PiramideLaplace,6,3,5,2,1,1,1
00459,RatioPiramide,6,3,4,1,1,1,1
00459,DWT,6,3,4,0,1,0,0
00459,DTCWT,6,3,4,0,1,0,0
00459,Curvelet,6,3,4,0,1,0,0
00459,TopHat_Clasico,6,3,4,0,1,0,0
00459,Propuesta_Novedosa,6,3,5,0,1,0,0
